"","word","sentiment","n"
"1","right","positive",212
"2","like","positive",192
"3","good","positive",160
"4","ominous","negative",121
"5","well","positive",119
"6","fuck","negative",109
"7","soft","positive",89
"8","thank","positive",88
"9","love","positive",83
"10","fucking","negative",73
"11","humming","negative",57
"12","shit","negative",57
"13","sorry","negative",52
"14","rumbling","negative",45
"15","static","negative",43
"16","intense","negative",41
"17","sharply","negative",41
"18","faint","negative",38
"19","hell","negative",37
"20","wrong","negative",37
"21","work","positive",35
"22","better","positive",33
"23","oddly","negative",33
"24","chatter","negative",32
"25","kill","negative",32
"26","clears","positive",31
"27","fine","positive",31
"28","dark","negative",28
"29","damn","negative",27
"30","beautiful","positive",24
"31","wild","negative",24
"32","bad","negative",23
"33","distorted","negative",23
"34","enough","positive",23
"35","great","positive",23
"36","buzzing","negative",21
"37","dead","negative",21
"38","prison","negative",21
"39","happy","positive",19
"40","hissing","negative",19
"41","hum","negative",19
"42","nice","positive",19
"43","odd","negative",19
"44","falling","negative",17
"45","bitch","negative",16
"46","killed","negative",16
"47","creaking","negative",15
"48","dings","negative",15
"49","free","positive",15
"50","noise","negative",15
"51","lost","negative",14
"52","squealing","negative",14
"53","best","positive",13
"54","hate","negative",13
"55","pretty","positive",13
"56","died","negative",12
"57","funny","negative",12
"58","important","positive",12
"59","loud","negative",12
"60","strange","negative",12
"61","excuse","negative",11
"62","knock","negative",11
"63","pain","negative",11
"64","trouble","negative",11
"65","hangs","negative",10
"66","hard","negative",10
"67","welcome","positive",10
"68","clean","positive",9
"69","creaks","negative",9
"70","instrumental","positive",9
"71","lose","negative",9
"72","luck","positive",9
"73","problem","negative",9
"74","ready","positive",9
"75","sick","negative",9
"76","smoke","negative",9
"77","squeal","negative",9
"78","terrible","negative",9
"79","worried","negative",9
"80","worry","negative",9
"81","blow","negative",8
"82","drunk","negative",8
"83","easy","positive",8
"84","hurt","negative",8
"85","interesting","positive",8
"86","loved","positive",8
"87","mistake","negative",8
"88","mockingly","negative",8
"89","muddy","negative",8
"90","stolen","negative",8
"91","top","positive",8
"92","whining","negative",8
"93","death","negative",7
"94","die","negative",7
"95","fun","positive",7
"96","missed","negative",7
"97","murder","negative",7
"98","sweet","positive",7
"99","tense","negative",7
"100","whoa","positive",7
"101","bleeding","negative",6
"102","cool","positive",6
"103","crazy","negative",6
"104","discordant","negative",6
"105","dying","negative",6
"106","fell","negative",6
"107","grand","positive",6
"108","loving","positive",6
"109","lucky","positive",6
"110","perfectly","positive",6
"111","safe","positive",6
"112","sharp","positive",6
"113","smell","negative",6
"114","squeaks","negative",6
"115","sweetheart","positive",6
"116","tired","negative",6
"117","trust","positive",6
"118","weird","negative",6
"119","booming","positive",5
"120","bright","positive",5
"121","broke","negative",5
"122","cunt","negative",5
"123","enjoy","positive",5
"124","fall","negative",5
"125","fear","negative",5
"126","freedom","positive",5
"127","goodness","positive",5
"128","lead","positive",5
"129","losing","negative",5
"130","louder","negative",5
"131","loves","positive",5
"132","miss","negative",5
"133","promise","positive",5
"134","rapid","positive",5
"135","slow","negative",5
"136","smelled","negative",5
"137","stupid","negative",5
"138","tough","positive",5
"139","ugh","negative",5
"140","win","positive",5
"141","wonderful","positive",5
"142","works","positive",5
"143","worse","negative",5
"144","worth","positive",5
"145","wow","positive",5
"146","afraid","negative",4
"147","alarm","negative",4
"148","appreciate","positive",4
"149","clear","positive",4
"150","cold","negative",4
"151","correct","positive",4
"152","crime","negative",4
"153","damned","negative",4
"154","devil","negative",4
"155","drones","negative",4
"156","fast","positive",4
"157","gold","positive",4
"158","hang","negative",4
"159","honor","positive",4
"160","hot","positive",4
"161","perfect","positive",4
"162","poison","negative",4
"163","properly","positive",4
"164","proud","positive",4
"165","punch","negative",4
"166","respect","positive",4
"167","rough","negative",4
"168","scream","negative",4
"169","screech","negative",4
"170","shame","negative",4
"171","slowly","negative",4
"172","stole","negative",4
"173","strong","positive",4
"174","worst","negative",4
"175","afford","positive",3
"176","alarming","negative",3
"177","bastard","negative",3
"178","blame","negative",3
"179","bloody","negative",3
"180","break","negative",3
"181","breaking","negative",3
"182","broken","negative",3
"183","bullshit","negative",3
"184","champ","positive",3
"185","cheap","negative",3
"186","comfortable","positive",3
"187","creative","positive",3
"188","darkness","negative",3
"189","dies","negative",3
"190","ding","negative",3
"191","dripping","negative",3
"192","enemy","negative",3
"193","excited","positive",3
"194","freeze","negative",3
"195","heaven","positive",3
"196","impossible","negative",3
"197","jam","negative",3
"198","leaking","negative",3
"199","liar","negative",3
"200","liberty","positive",3
"201","liked","positive",3
"202","loss","negative",3
"203","lovely","positive",3
"204","mess","negative",3
"205","pity","negative",3
"206","polite","positive",3
"207","protection","positive",3
"208","pure","positive",3
"209","quiet","positive",3
"210","rattles","negative",3
"211","remedy","positive",3
"212","rogue","negative",3
"213","silent","positive",3
"214","sinking","negative",3
"215","spewing","negative",3
"216","threaten","negative",3
"217","torture","negative",3
"218","trick","negative",3
"219","unbelievable","negative",3
"220","upbeat","positive",3
"221","urgent","negative",3
"222","weak","negative",3
"223","won","positive",3
"224","wonder","positive",3
"225","accidental","negative",2
"226","attractive","positive",2
"227","betray","negative",2
"228","blur","negative",2
"229","blurred","negative",2
"230","boom","positive",2
"231","catastrophic","negative",2
"232","complaining","negative",2
"233","concern","negative",2
"234","confess","negative",2
"235","conspiracy","negative",2
"236","coward","negative",2
"237","cozy","positive",2
"238","crashing","negative",2
"239","darling","positive",2
"240","delay","negative",2
"241","delicious","positive",2
"242","destiny","positive",2
"243","difficult","negative",2
"244","dirt","negative",2
"245","divine","positive",2
"246","dull","negative",2
"247","easier","positive",2
"248","emergency","negative",2
"249","excellent","positive",2
"250","failed","negative",2
"251","fair","positive",2
"252","fanfare","positive",2
"253","fat","negative",2
"254","fault","negative",2
"255","favor","positive",2
"256","foreboding","negative",2
"257","fresh","positive",2
"258","glowing","positive",2
"259","grating","negative",2
"260","growl","negative",2
"261","happily","positive",2
"262","helped","positive",2
"263","holy","positive",2
"264","ideal","positive",2
"265","jealous","negative",2
"266","jerky","negative",2
"267","joke","negative",2
"268","killing","negative",2
"269","kindness","positive",2
"270","knife","negative",2
"271","leak","negative",2
"272","likes","positive",2
"273","longing","negative",2
"274","magic","positive",2
"275","melancholy","negative",2
"276","mercy","positive",2
"277","mighty","positive",2
"278","mysterious","negative",2
"279","mystery","negative",2
"280","nervous","negative",2
"281","overweight","negative",2
"282","painfully","negative",2
"283","peculiar","negative",2
"284","pleasant","positive",2
"285","pleased","positive",2
"286","pleasure","positive",2
"287","poor","negative",2
"288","problems","negative",2
"289","punk","negative",2
"290","raped","negative",2
"291","rapture","positive",2
"292","refund","positive",2
"293","remarkable","positive",2
"294","resounding","positive",2
"295","scratch","negative",2
"296","shimmering","positive",2
"297","shiny","positive",2
"298","shock","negative",2
"299","smart","positive",2
"300","smile","positive",2
"301","sore","negative",2
"302","sour","negative",2
"303","spade","negative",2
"304","spiritual","positive",2
"305","split","negative",2
"306","squeak","negative",2
"307","straining","negative",2
"308","stress","negative",2
"309","stronger","positive",2
"310","suffering","negative",2
"311","suspect","negative",2
"312","trap","negative",2
"313","uneasy","negative",2
"314","upset","negative",2
"315","vibrating","negative",2
"316","warm","positive",2
"317","whips","negative",2
"318","whores","negative",2
"319","absurd","negative",1
"320","adore","positive",1
"321","amazing","positive",1
"322","angel","positive",1
"323","anger","negative",1
"324","appreciates","positive",1
"325","appreciative","positive",1
"326","ashamed","negative",1
"327","assurance","positive",1
"328","assure","positive",1
"329","audible","positive",1
"330","available","positive",1
"331","badly","negative",1
"332","beauty","positive",1
"333","biting","negative",1
"334","bitter","negative",1
"335","bleed","negative",1
"336","bother","negative",1
"337","breach","negative",1
"338","breaks","negative",1
"339","brighten","positive",1
"340","brutally","negative",1
"341","burn","negative",1
"342","burned","negative",1
"343","calm","positive",1
"344","cancer","negative",1
"345","carefree","positive",1
"346","celebrate","positive",1
"347","champion","positive",1
"348","cheated","negative",1
"349","cheer","positive",1
"350","chic","positive",1
"351","childish","negative",1
"352","cleared","positive",1
"353","cloudy","negative",1
"354","compassion","positive",1
"355","concerned","negative",1
"356","concerns","negative",1
"357","confused","negative",1
"358","congratulations","positive",1
"359","contempt","negative",1
"360","convenience","positive",1
"361","corruption","negative",1
"362","crack","negative",1
"363","cracks","negative",1
"364","crash","negative",1
"365","creak","negative",1
"366","credible","positive",1
"367","cry","negative",1
"368","cute","positive",1
"369","damage","negative",1
"370","dangerous","negative",1
"371","dawn","positive",1
"372","deadly","negative",1
"373","decency","positive",1
"374","deny","negative",1
"375","desperately","negative",1
"376","dick","negative",1
"377","dilemma","negative",1
"378","din","negative",1
"379","dirty","negative",1
"380","discouraging","negative",1
"381","disoriented","negative",1
"382","disrespect","negative",1
"383","distracting","negative",1
"384","disturbing","negative",1
"385","doubt","negative",1
"386","douchebag","negative",1
"387","dragged","negative",1
"388","drained","negative",1
"389","dreamland","positive",1
"390","dust","negative",1
"391","ecstatic","positive",1
"392","educated","positive",1
"393","enemies","negative",1
"394","enjoyed","positive",1
"395","erratically","negative",1
"396","estranged","negative",1
"397","excitement","positive",1
"398","exciting","positive",1
"399","fail","negative",1
"400","faith","positive",1
"401","fancy","positive",1
"402","fantastic","positive",1
"403","faster","positive",1
"404","favorite","positive",1
"405","fearful","negative",1
"406","fool","negative",1
"407","forsaken","negative",1
"408","fortune","positive",1
"409","foul","negative",1
"410","fragile","negative",1
"411","frantically","negative",1
"412","freak","negative",1
"413","freezing","negative",1
"414","frozen","negative",1
"415","generously","positive",1
"416","gentle","positive",1
"417","giddy","negative",1
"418","glad","positive",1
"419","glow","positive",1
"420","gratitude","positive",1
"421","greedy","negative",1
"422","grudge","negative",1
"423","guarantee","positive",1
"424","handsome","positive",1
"425","happier","positive",1
"426","hated","negative",1
"427","hates","negative",1
"428","heavenly","positive",1
"429","heck","negative",1
"430","helpful","positive",1
"431","helping","positive",1
"432","hiss","negative",1
"433","honest","positive",1
"434","hopeful","positive",1
"435","horrible","negative",1
"436","hug","positive",1
"437","idiots","negative",1
"438","ignorance","negative",1
"439","ignore","negative",1
"440","incomplete","negative",1
"441","incredible","positive",1
"442","infection","negative",1
"443","issue","negative",1
"444","jealousy","negative",1
"445","joyful","positive",1
"446","killer","negative",1
"447","lagging","negative",1
"448","lawfully","positive",1
"449","led","positive",1
"450","lied","negative",1
"451","lighter","positive",1
"452","limits","negative",1
"453","lively","positive",1
"454","loose","negative",1
"455","loser","negative",1
"456","lousy","negative",1
"457","loyal","positive",1
"458","lurking","negative",1
"459","lying","negative",1
"460","mad","negative",1
"461","magnificent","positive",1
"462","majestic","positive",1
"463","manic","negative",1
"464","mesmerizing","positive",1
"465","miserable","negative",1
"466","mistaken","negative",1
"467","moan","negative",1
"468","modern","positive",1
"469","monstrous","negative",1
"470","moody","negative",1
"471","moron","negative",1
"472","negative","negative",1
"473","nightmare","negative",1
"474","nightmarish","negative",1
"475","noises","negative",1
"476","notorious","negative",1
"477","object","negative",1
"478","painless","positive",1
"479","pales","negative",1
"480","panicked","negative",1
"481","poisonous","negative",1
"482","positive","positive",1
"483","powerful","positive",1
"484","puppets","negative",1
"485","rash","negative",1
"486","recommend","positive",1
"487","recovery","positive",1
"488","refused","negative",1
"489","regret","negative",1
"490","relief","positive",1
"491","reluctance","negative",1
"492","risk","negative",1
"493","romantic","positive",1
"494","ruining","negative",1
"495","sad","negative",1
"496","saint","positive",1
"497","satisfied","positive",1
"498","scared","negative",1
"499","scary","negative",1
"500","scoff","negative",1
"501","scrambled","negative",1
"502","scratches","negative",1
"503","secure","positive",1
"504","selfish","negative",1
"505","sensational","positive",1
"506","serene","positive",1
"507","sexy","positive",1
"508","sink","negative",1
"509","sloppy","negative",1
"510","smiles","positive",1
"511","smiling","positive",1
"512","smooth","positive",1
"513","smudged","negative",1
"514","sneak","negative",1
"515","snub","negative",1
"516","solemn","negative",1
"517","solid","positive",1
"518","somber","negative",1
"519","sparkle","positive",1
"520","spilling","negative",1
"521","spook","negative",1
"522","spooky","negative",1
"523","squeals","negative",1
"524","stable","positive",1
"525","stall","negative",1
"526","steady","positive",1
"527","stressful","negative",1
"528","struggling","negative",1
"529","stumbles","negative",1
"530","success","positive",1
"531","sucked","negative",1
"532","sucks","negative",1
"533","suffered","negative",1
"534","sufficient","positive",1
"535","suicide","negative",1
"536","super","positive",1
"537","swift","positive",1
"538","tank","negative",1
"539","tease","negative",1
"540","thankful","positive",1
"541","threat","negative",1
"542","thrill","positive",1
"543","thrilling","positive",1
"544","tops","positive",1
"545","torturing","negative",1
"546","trapped","negative",1
"547","treasonous","negative",1
"548","tricked","negative",1
"549","troubling","negative",1
"550","trusted","positive",1
"551","twists","negative",1
"552","unfinished","negative",1
"553","unfortunate","negative",1
"554","unhelpful","negative",1
"555","unnatural","negative",1
"556","vibrates","negative",1
"557","vice","negative",1
"558","vile","negative",1
"559","violent","negative",1
"560","violently","negative",1
"561","vomited","negative",1
"562","wail","negative",1
"563","wasting","negative",1
"564","wealthy","positive",1
"565","wicked","negative",1
"566","winner","positive",1
"567","wise","positive",1
"568","worked","positive",1
"569","worrier","negative",1
"570","worrying","negative",1
"571","worthy","positive",1
"572","wound","negative",1
"573","wrestle","negative",1
